1 -5 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
3 1 -5 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 -5 1 1 -5 1 1 1 1 1
4 -5 0 0 0 0 0 1 1 1 0 0 -5 1 1 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 1 1 1
5 1 1 0 0 0 -5 1 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
6 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 1 1 1 1 1 1 1 1 1 1 1
7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 -5 -5 -5 -5 -5
8 -3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 -5 1
10 1 1 1 0 0 1 -5 -5 0 -5 0 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
11 -5 1 1 0 1 1 -5 -5 -5 1 -3 1 1 1 1 0 1 1 0 1 -5 -5 -5 -5 -5 -5 -5 -5
12 1 0 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
13 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5
14 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 -5 -5
15 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
16 -3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -3 1 1
17 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
18 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19 1 1 1 -5 0 0 1 0 0 0 0 0 0 0 0 -5 0 -5 -5 -5 0 -5 0 -5 -5 -5 -5 -5
20 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 -5 1 1 1 -5 -5
21 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
22 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 1
23 0 0 0 0 -5 -5 -5 -5 -5 -5 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
24 1 1 1 0 -5 0 1 1 1 1 1 -5 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
25 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 1 1 1 1 1 1 0 0 1 1 1 1 -3 1 -5 -5 -5 -5 -5 -5 -5 -5 1 1 -5 -5 -5 -5
27 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1
28 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 1 -5 -5 -5 -5 -5
29 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
30 1 1 1 -5 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 -5 1 1 1 1 1 1 1 1 1 1 1 1
32 -5 1 1 1 1 1 1 1 1 0 -5 -5 1 1 1 -3 -5 -5 -5 1 1 -5 1 -5 -5 -5 -5 -5
33 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 0 -3 1 1 1 -5 -5 -5 -5 0 0 0 0 0 0 0 0
34 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0
35 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
36 0 1 1 1 1 1 -5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
37 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0
38 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
39 -5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
40 1 0 1 1 0 0 -3 0 0 1 1 1 -3 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
41 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 1 1 1 1 1 1 1 1 1 1 1
42 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5
