1 1 5 3 2 1 -5 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
2 1 5 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 -4 -4 -4 7 7 -4 -4 -4 -4 -4 -4 7 -4 -4 -4 -4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 1 5 3 2 1 1 1 -5 -5 1 4 -4 4 -4 4 1 4 -4 4 2 4 3 4 3 1 3 6 3 2 3 1 3 4 -4 -4 -4 7 1 -4 -4 -4 -4 2 -4 1 1 4 1 4 -5 -5 1 1 4 1 4 -5 -5 1 2 1 2 1 2 1 2 1 4
4 -4 5 3 2 3 -5 -5 -4 4 1 3 -4 4 -4 5 -4 5 1 1 1 1 1 1 1 6 1 6 -5 -5 1 1 1 1 -5 -5 -5 -5 1 2 -4 -4 2 -4 -4 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 4 1 4 1 4
5 1 1 3 1 1 1 1 1 1 2 5 2 5 1 5 -5 -5 1 1 -5 -5 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
6 -4 1 3 1 5 2 1 -4 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 -4 -4 1 1 2 1 -4 -4 -5 -5 -5 -5 1 3 1 3 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 -4 1 3 1 5 1 1 1 1 1 1 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 1 1 2 -4 -4 7 1 2 -4 -4 -4 -4 -4 1 1 2 1 2 1 2 1 1 2 0 2 0 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
8 1 6 3 2 1 -4 4 1 1 1 1 1 1 1 1 -3 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 -4 -4 2 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
9 1 1 3 1 1 4 5 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 -4 5 -4 1 1 -4 5 -4 -4 4 -4 1 1 4 1 4 1 4 1 1 4 1 4 1 4 1 4 1 4 1 4 -5 -5 1 4
10 -4 6 3 2 3 1 1 2 1 1 1 1 2 1 4 1 1 -5 -5 -5 -5 1 4 -5 -5 1 1 1 1 1 1 1 1 2 -4 -4 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
11 1 1 3 1 1 -5 -5 1 1 1 1 1 3 1 1 1 1 -5 -5 -5 -5 -5 -5 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 4 2 -4 -4 2 -4 -4 1 1 2 0 2 0 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
12 -4 5 3 2 5 1 1 -4 5 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 1 -4 -4 2 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
13 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -4 4 -4 1 1 -4 -4 4 -4 4 -4 1 1 4 1 2 1 2 1 1 4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
14 1 5 3 2 1 -4 5 -4 3 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 2 -4 -4 -4 -4 -4 1 1 2 1 2 1 2 1 1 2 0 2 1 2 1 2 0 2 0 2 -5 -5 -5 -5
15 -4 1 3 1 5 1 1 -4 5 -4 5 2 5 2 5 1 1 1 1 2 1 2 1 -4 8 -4 3 1 1 1 1 1 1 -4 -4 2 1 1 2 -4 -4 2 -4 -4 7 -4 -4 -4 -4 -4 -4 -4 7 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
16 1 5 3 2 1 -4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 2 -4 -4 -4 -4 2 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
17 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 3 1 3 1 1 2 1 1 2 -4 -4 1 1 -4 -4 2 -4 4 -4 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 2 -4 -4 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
19 1 5 3 2 1 1 1 2 1 1 1 -5 -5 -4 5 -4 5 1 1 1 7 -4 4 -4 4 -4 4 -4 4 -4 4 -4 4 -4 -4 -4 7 -5 -5 -5 -5 -4 -4 -4 7 -5 -5 -5 -5 -5 -5 -4 6 -4 -5 -5 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
20 1 5 3 2 1 -4 3 -4 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 -4 -4 2 1 1 2 -4 -4 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 -5 -5 1 2 1 2 1 2 -5 -5 -5 -5
21 1 5 3 2 1 1 2 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 2 -4 -4 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 4 1 4 1 4 1 4 0 4
22 1 5 3 2 1 1 1 1 1 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 -4 3 -4 1 1 -4 3 -4 3 -4 -4 1 1 3 1 3 1 3 1 1 3 1 3 1 3 1 3 1 4 1 4 -5 -5 1 4
23 1 1 3 1 1 -4 5 -4 5 1 5 -4 5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
24 -4 1 3 1 3 1 1 1 1 1 1 1 7 -5 -5 1 3 1 1 1 1 1 1 1 1 1 1 -5 -5 1 1 1 1 2 -4 -4 1 1 -4 -4 2 2 -4 -4 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
25 -4 5 3 2 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 2 -4 -4 2 2 1 2 -4 -4 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
26 1 1 3 1 1 1 1 1 1 1 1 1 1 -4 8 -4 8 -4 5 -4 5 -4 8 -4 8 -4 8 -4 8 -4 8 -4 8 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 2 1 2 -5 -5 -5 -5 -5 -5 -5 -5
27 1 5 3 2 2 1 1 1 1 1 1 1 1 2 1 3 1 3 5 -4 5 -4 4 -4 7 -4 4 -4 7 -4 4 3 1 -4 -4 4 7 1 4 -4 -4 -4 2 -4 1 0 2 -4 -4 -4 -4 -4 7 -4 1 2 1 2 1 5 1 5 1 2 1 2 1 2
28 -4 5 3 2 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 -4 -4 1 1 2 -4 -4 2 -4 -4 1 1 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 1 4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
29 1 5 3 2 1 1 2 -4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 -4 -4 1 1 2 -4 -4 2 -4 -4 2 1 2 1 2 1 2 1 1 2 0 2 1 5 1 5 0 5 -4 -4 -4 -4 -4 -4
30 1 5 3 2 1 1 1 1 1 1 1 -5 -5 1 1 1 1 1 1 1 2 1 4 -4 4 -4 4 -4 7 -4 4 -4 4 -4 -4 -4 7 7 -4 -4 -4 -4 -4 -4 7 -4 -4 -4 -4 -4 -4 -4 7 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
31 -4 4 1 1 5 1 1 -4 3 -4 3 1 1 -4 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -4 -4 2 1 -5 -5 -5 -5 2 -4 -4 1 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
