1 1 1 -5 -5 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 1 1 1 1 -5 -5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 -5 -5 4 1 4 1 -5 -5 4 1 4 1 4 1 4 1 4 1
4 1 1 -5 -5 4 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 1 1 1 1 -5 -5 4 1 4 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 4 1 4 1 4 1
5 1 1 1 1 1 1 1 3 3 1 3 1 -5 -5 1 1 -5 -5 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
6 1 1 1 1 1 1 0 1 1 -4 1 -4 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 2 1 2 1 2 1 -5 -5 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1
7 1 1 0 1 1 0 0 1 3 -4 1 -4 4 -4 4 -4 4 -4 4 -4 -4 -4 4 -4 4 -4 4 -4 3 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 1 1
10 1 1 1 1 1 1 1 1 1 1 1 -4 1 1 -5 -5 -5 -5 1 1 -5 -5 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
11 1 1 -5 -5 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
